Fuente	Media	Desviacion_Estandar	Puntos
Global	4068.7366074936067	2026.3411381059786	14667021
Montecarlo	3933.1685147125286	2022.568935739232	1466
Montecarlo	4018.6984073125714	1958.870829358287	1466
Montecarlo	4090.668484883455	2041.7475493640447	1466
Montecarlo	4045.0289347695916	2082.6867509102867	1466
Montecarlo	4082.031808961229	2009.1732993093633	1466
Montecarlo	4088.3825919488713	2059.1877137186552	1466
Montecarlo	4042.6422852413757	2041.184970430728	1466
Montecarlo	4158.373760146271	2070.1830420032456	1466
Montecarlo	4120.988382108378	2038.0121090504217	1466
Montecarlo	4205.219064841208	2046.3201057306935	1466
Montecarlo	4119.839354555257	2017.4656514356734	1466
Montecarlo	4064.1129307305087	2014.7054789982558	1466
Montecarlo	4080.6291340894204	1963.6743412841088	1466
Montecarlo	4104.105495332562	1999.73984309208	1466
Montecarlo	4165.982320420247	2073.3866519339404	1466
Montecarlo	4047.45293959804	1982.4143461045153	1466
Montecarlo	4057.4206242625974	1990.1711421717177	1466
Montecarlo	4089.2990445945384	1994.1374143199307	1466
Montecarlo	4055.540071363612	2071.3059220585765	1466
Montecarlo	4090.502245048817	2010.2935913040894	1466
Montecarlo	4073.1575164469664	2062.326356656111	1466
Montecarlo	4101.563469402521	1965.257452567579	1466
Montecarlo	4126.645212015648	2014.264576621459	1466
Montecarlo	4119.1989502855495	2034.9681450661342	1466
Montecarlo	4124.122338828748	2019.7967038527333	1466
Montecarlo	4184.75193351957	2057.0426802042903	1466
Montecarlo	4003.862677167075	2001.0359514139413	1466
Montecarlo	4207.287942212906	2073.176121931329	1466
Montecarlo	4123.01849944558	2045.454144438031	1466
Montecarlo	4035.3704283632233	1982.3473941431491	1466
Montecarlo	4060.4337823097258	2063.9743181301496	1466
Montecarlo	4124.530218955231	2047.5401258899574	1466
Montecarlo	4118.030274850773	1995.5537716872286	1466
Montecarlo	4079.4381354698025	2007.6575097861255	1466
Montecarlo	4072.4123391547987	1961.9902640080616	1466
Montecarlo	4106.029778801654	2078.6535829864415	1466
Montecarlo	4084.5794686512845	2032.014282097114	1466
Montecarlo	4070.6834767128144	2006.9531761665705	1466
Montecarlo	4096.266178155337	2027.1759953030878	1466
Montecarlo	4020.7324435492305	2008.626469156863	1466
Montecarlo	3964.675614260006	1999.1386149251623	1466
Montecarlo	4086.3650169070265	2028.5894288514419	1466
Montecarlo	4112.167712169915	2048.17967718964	1466
Montecarlo	4103.810021709605	2025.1280895545476	1466
